"","logFC","logCPM","PValue","FDR"
"YJR145C",-0.368353952993885,11.3258489684687,4.90398274960159e-101,2.63789690267206e-99
"YMR122W-A",-0.671325364847111,9.86125433126908,1.59360039113341e-97,8.49489505796073e-96
"YDR406W",-1.52328377552515,7.19430567233644,1.69724684688338e-96,8.96661570804372e-95
"YJL012C",-1.25798732250729,8.01418205932193,2.296504438234e-95,1.20251475761332e-93
"YPR124W",-0.970653233816251,8.31331106798181,2.31204933728216e-94,1.20003473058759e-92
"YKL062W",-1.71272786692195,6.88858077461048,6.86885053409691e-94,3.53417292263056e-92
"YHL047C",-1.52574421538937,7.47247499797014,1.22939637570737e-93,6.2709813405694e-92
"YCR021C",-2.22749963498242,6.0781298514566,1.45944743123117e-93,7.38081235093578e-92
"YHR162W",0.9940702256302,8.48832498232451,3.09225694315969e-93,1.55058341802338e-91
"YNL030W",0.620476685340929,9.76916304177081,8.45882378648699e-93,4.20595465081038e-91
"YKL060C",-0.15259324046771,14.0249298541163,1.9787459078882e-92,9.75686628081207e-91
"YOR273C",-1.31935700687697,7.52647796832945,5.81367737733416e-92,2.84293628443688e-90
"YER072W",-1.13553617152599,8.07626658212076,4.80153759245129e-91,2.32874573233888e-89
"YDL184C",0.885430899844599,9.12063119437739,1.35609800424495e-90,6.52360316351004e-89
"YGL189C",0.573093354483293,10.3729619648649,2.11681913766176e-90,1.01009829335038e-88
"YBR093C",-1.60157555540126,6.88682661252018,4.0323975886131e-90,1.9087757225459e-88
"YDR155C",-0.463561590141708,11.4111764262162,5.15637081125202e-90,2.4214481023951e-88
"YKL182W",-0.708805489901345,9.50839227654224,1.02208322015533e-89,4.76194205799929e-88
"YAL003W",-0.599948739956817,9.68456914125784,1.71550409724646e-89,7.93018573703696e-88
"YER055C",-1.04421375184042,8.41568722865234,8.72078003198078e-88,4.00006631389382e-86
"YBR212W",0.980693636896698,8.38932113006801,2.36837653398092e-84,1.07797568858193e-82
"YLR108C",2.44571402128213,6.35633156961628,6.77008625138658e-84,3.05790842362248e-82
"YGR008C",-1.01634924401775,8.10537026413947,8.96877178217627e-84,4.02031989660129e-82
"YAL044C",-1.49342255885165,7.14340968982235,1.09783118485254e-82,4.88411061712216e-81
"YER145C",0.950658124872934,8.52902125287276,1.84809554125247e-82,8.16058307282898e-81
"YBR162C",0.582828121447889,10.0296241772646,2.21339795780277e-82,9.7012412713474e-81
"YFR055W",-1.67676900439388,6.81527942118647,2.27127619450804e-82,9.88172150213535e-81
"YHR146W",1.20722024412836,7.93269063292511,2.64587625348789e-82,1.14274815999181e-80
"YHR219W",0.961601213635154,9.73141152473155,5.27895385436119e-82,2.26344709827936e-80
"YBR009C",0.729425955282643,9.19754260086019,5.97325388074659e-82,2.54271533901997e-80
"YKR039W",1.72703211846513,7.35220232624833,1.63983348098685e-81,6.93063907642798e-80
"YKL104C",0.90411022749302,8.54722674105322,3.31191806513474e-79,1.3898311483264e-77
"YFL054C",1.68556033757278,7.42211939571476,5.35817033976817e-79,2.23269675354988e-77
"YDR399W",-1.47214049075228,7.07010566974321,6.50656716749168e-79,2.69226279231107e-77
"YGR204W",-0.536094237837817,9.80846415209735,4.78919097933695e-78,1.96789187671783e-76
"YKL065C",1.05915565418803,8.09584626443198,6.4086015610203e-78,2.61515140941773e-76
"YEL044W",1.40149994930523,7.43661209339384,1.78737143511036e-77,7.24375122023836e-76
"YDR224C",0.620619860428915,9.50002305588452,4.83758934835912e-77,1.94721198464224e-75
"YOR375C",0.559953899466237,9.84538839859803,4.29749921159137e-76,1.7181285699315e-74
"YOR230W",-0.812647144428347,8.76318649732216,1.41839760453082e-75,5.6326567959791e-74
"YHR216W",-1.04329107116252,8.08292330235313,1.62021867652052e-75,6.39122260598127e-74
"YGL147C",-0.428279022951101,10.4894561340444,4.55588113097597e-75,1.78524163258178e-73
"YJR009C",0.197675761356219,13.2824008764154,5.51151685668416e-75,2.14550297638159e-73
"YLR348C",0.990674664864805,8.19127455340971,5.8597812159638e-75,2.26616506240901e-73
"YHL050C",2.24177179221709,7.16474488312461,1.33310643164459e-74,5.12207191950715e-73
"YPL163C",-1.32546010979083,7.11468588413344,3.76183113609333e-74,1.43604869885576e-72
"YKR057W",-0.534995700095708,9.83363936860536,5.23403712248835e-73,1.98524343934382e-71
"YLR332W",1.00238824688758,8.14580972743059,1.34225265390272e-72,5.05866812302062e-71
"YGR086C",0.479521579083203,10.1173179595481,1.03061642987581e-71,3.85959330099695e-70
